,comment,reference,labels
217,как стать хорошо обучаемым.,"программирования тред, обсуждаем языки и технологии разработки",0
218,"найти удобный для себя алгоритм обучения, и выяснить для чего же ты учишь это сво погромировани","программирования тред, обсуждаем языки и технологии разработки",1
219,"за сколько времени, при норм усилиях и устремлении, изучается нормально haskell.","программирования тред, обсуждаем языки и технологии разработки",1
220,"пацаны, как собрать команду.","программирования тред, обсуждаем языки и технологии разработки",0
221,"я ебанулся, если хочу быть фуллстек и писать фронтоговно на js а бэк на asp. net, или всетаки в этом есть смысл и я смогу найти работу. сегодня сблевал когда попробовал пхп","программирования тред, обсуждаем языки и технологии разработки",1
222,"почему нет нормальных туториалов, например как создать готовое приложение под винду, чтобы вс красиво, с графиками и таблицами, свистело и пердело.","программирования тред, обсуждаем языки и технологии разработки",1
223,просто иди на хуй. иди в макдак кассу освобождай.,"программирования тред, обсуждаем языки и технологии разработки",0
224,бамп,"программирования тред, обсуждаем языки и технологии разработки",0
225,"вообщето есть, для любого графического фреймворка. типа","программирования тред, обсуждаем языки и технологии разработки",1
226,"сап. есть тут джедаи qt creator и тестов. у меня есть код, который я бы хотел протестировать, но не могу сам разобраться.","программирования тред, обсуждаем языки и технологии разработки",1
227,"работато существует, но судя по вакансиям нужен опыт.","программирования тред, обсуждаем языки и технологии разработки",0
228,есть тут кто работает программистом. нравится ли работа. много ли остается свободного времени на свои хобби и увлечения.,"программирования тред, обсуждаем языки и технологии разработки",1
229,сколько времени при серьезном подходе учится haskell.,"программирования тред, обсуждаем языки и технологии разработки",1
230,с работой d художника напримеркакое хобби,"программирования тред, обсуждаем языки и технологии разработки",0
231,неделю.,"программирования тред, обсуждаем языки и технологии разработки",0
232,с почти нуля.,"программирования тред, обсуждаем языки и технологии разработки",0
233,неделю и один день.,"программирования тред, обсуждаем языки и технологии разработки",0
234,а какие должны быть хобби то. тип чтото не связанное с работой. типа игры на укулеле или дрочки.,"программирования тред, обсуждаем языки и технологии разработки",0
235,коммерческое самоубийство.,"программирования тред, обсуждаем языки и технологии разработки",0
236,". ну тип покупаешь хуйня нейм и она стоит у тебя на полке, но всем говоришь что у тебя есть время на хобби.","программирования тред, обсуждаем языки и технологии разработки",0
237,"что у тебя есть время на хобби. ой да ладно блядь, приезжаешь на свою работу в , работаешь до допустим","программирования тред, обсуждаем языки и технологии разработки",0
238,"обычно рабочий день до . итого перед нормальным сном останется часа. этого хватит только комп включить и охуеть, что скоро надо идти спать.","программирования тред, обсуждаем языки и технологии разработки",0
239,на деле обычно пред сном есть ровно час свободного времени.,"программирования тред, обсуждаем языки и технологии разработки",0
240,"да пиздец какойто, это уже не жизнь, это рабство какоето","программирования тред, обсуждаем языки и технологии разработки",0
241,"и чо, мамкинымы борщами питаешься.","программирования тред, обсуждаем языки и технологии разработки",0
242,"делой, птыбля.","программирования тред, обсуждаем языки и технологии разработки",0
243,жена работает.,"программирования тред, обсуждаем языки и технологии разработки",0
244,"нет, часа занимает дорога с работы и на работы. прихожу, пару часов прихожу в себя, моюсь, кушаю, час залипаю в борды, потом ложусь в кровать и общаюсь.","программирования тред, обсуждаем языки и технологии разработки",0
245,меня родоки положим три года терпелихотя они и любили менячерез три года прямо говорили чтобы я здохдумаю что жена чужая по сути баба выкинет бездельника через полгода,"программирования тред, обсуждаем языки и технологии разработки",0
246,на работе здают что ты гомик.,"программирования тред, обсуждаем языки и технологии разработки",0
247,нет.,"программирования тред, обсуждаем языки и технологии разработки",0
248,квартира моя. я очень хороший и полезный. ты же не думаешь что девушки в айти бывают сами по себе. .,"программирования тред, обсуждаем языки и технологии разработки",0
249,я девушка.,"программирования тред, обсуждаем языки и технологии разработки",0
250,"ты вниманиеблядь, следовательно подлый и нехороший человек.","программирования тред, обсуждаем языки и технологии разработки",0
251,"ее спросили, она ответила, совсем уже поехал.","программирования тред, обсуждаем языки и технологии разработки",0
252,"ch, подскажи какиенибудь книги по программированию на ассемблере для нубов и которые не привязаны к windows или dos.","программирования тред, обсуждаем языки и технологии разработки",1
253,"зачем тебе ассемблер. работы сейчас под него нет, учи чтонибудь современное типа раста или питухона","программирования тред, обсуждаем языки и технологии разработки",1
254,"так я для себя же, я c знаю но в ассемблер чтото въехать не могу, куча диалектов и много чего не понятного, да и большинство информации по ассемблеру идт на dos.","программирования тред, обсуждаем языки и технологии разработки",1
255,день.,"программирования тред, обсуждаем языки и технологии разработки",0
256,ты очень странный малый.,"программирования тред, обсуждаем языки и технологии разработки",0
257,"зубков сергей assembler для dos, windows и linuxа вообще, для начала на dos попиши, он попроще, с него лучше въезать. поставь себе эмулятор какойнибудь.","программирования тред, обсуждаем языки и технологии разработки",1
258,уж что нашл.,"программирования тред, обсуждаем языки и технологии разработки",0
259,нахуй ты на шелле скрипты пишешь.,"программирования тред, обсуждаем языки и технологии разработки",1
260,"у меня особые вкусы. ты бы знал, у меня пол кода на sed.","программирования тред, обсуждаем языки и технологии разработки",1
261,"да есть, вон по юнити полно такого. ты гугли туториалы по гуйцам, типа wpf например.","программирования тред, обсуждаем языки и технологии разработки",1
262,"трустори, shell expansion это полный пиздец. двойные кавычки, всегда нужно еще больше двойных кавычек. правильный выбор не писать на шелле вообще.","программирования тред, обсуждаем языки и технологии разработки",1
263,"однако, здравствуйте. не могу найти предметную область для семестровки. хочу сделать вебсервиса. один реализует рестапи какбудто бекенд, другой шлт на него запросы.","программирования тред, обсуждаем языки и технологии разработки",1
264,нойс обасрался. побежал оливье резать.,"программирования тред, обсуждаем языки и технологии разработки",0
265,"как сделать, чтобы по окончании ввода в поле и нажатии клавиши enter, данные добавлялись кудато.","программирования тред, обсуждаем языки и технологии разработки",1
266,"поясните за тестирование. как вкатиться тестировщиком, что почитать.","программирования тред, обсуждаем языки и технологии разработки",1
267,"а чего ты хотел, если погромист, не хуй с горы, получает в долларах а сбер будет платить в рублях.","программирования тред, обсуждаем языки и технологии разработки",0
268,"не понял к чему это ты. с зарплатой не обидят, а если обидят, то учба и опыт халявные.","программирования тред, обсуждаем языки и технологии разработки",0
269,"да не, я ничо не говорю, поступай, просто бесплатной халявы нигде не бывает, за не всегда ктото платит, так или иначе","программирования тред, обсуждаем языки и технологии разработки",0
270,универ новый и первое время работает в убыток. видимо он за мою халяву и будет платить.,"программирования тред, обсуждаем языки и технологии разработки",0
271,"а в огороде бузина так как в киеве дядька. а. ааа, блядь, тото же. шакалы ебучие блядь.","программирования тред, обсуждаем языки и технологии разработки",0
272,таблеточки принять забыл.,"программирования тред, обсуждаем языки и технологии разработки",0
273,"докатились блядь, эту парашу уже здесь пиарят. да нахуй идите со своим иннополисом, у них большая часть программы это бизнес хуйня","программирования тред, обсуждаем языки и технологии разработки",0
274,пиздишь.,"программирования тред, обсуждаем языки и технологии разработки",0
275,"приходил из иннополиса, такую хуйню нес, говорит дали задание симулировать распространение болезни, ну я говорит нейронку на расте поднял, обучил ее, она мне все и решила","программирования тред, обсуждаем языки и технологии разработки",1
276,в прошлом году был первый нормальный набор с готовыми программами на бакалавра. на магистратуру раньше закончили. он наверно из пробной группы был.,"программирования тред, обсуждаем языки и технологии разработки",0
277,"сап, двощ. хочу вкатиться в программирование. с чего начать.","программирования тред, обсуждаем языки и технологии разработки",1
278,"становишься тянкой ищешь неудовлетворнного линуксоида говоришь что хочешь учиться, кидаешь его во френдзону он учит тебя всему что знает ?????? profit. !!!","программирования тред, обсуждаем языки и технологии разработки",0
279,"сап, pr. я хочу вкатиться в программирование под айось. выбрал я этот тред, потому что я полный ноль.","программирования тред, обсуждаем языки и технологии разработки",1
280,какой смуззи ты предпочитаешь. вишнвый.,"программирования тред, обсуждаем языки и технологии разработки",0
281,"нет, я серьезно. сори если слишком ньюфаг, но желание вместе с некоторыми знаниями в области у меня есть. надеюсь воспринята моя просьба будет адекватно","программирования тред, обсуждаем языки и технологии разработки",0
282,си потом свифт,"программирования тред, обсуждаем языки и технологии разработки",1
283,в лет уже поздно.,"программирования тред, обсуждаем языки и технологии разработки",0
284,рано. иди подвачуй.,"программирования тред, обсуждаем языки и технологии разработки",0
285,"а можете сказать насколько актуально то, что там на канале в бегиннер курсе. там год. ..","программирования тред, обсуждаем языки и технологии разработки",0
286,"просто читай документацию параллельно, главное, что чел объясняет нормально.","программирования тред, обсуждаем языки и технологии разработки",1
287,"люди годами изучают, читают манытратят время и другие ресурсыи тут, ты, чмоха, думаешь на хяляву спросишь и тебе ответят в интернетах. даже гуглить не надоиди нахуй","программирования тред, обсуждаем языки и технологии разработки",0
288,"пацаны, как отрезать ненужное из плюсов. скажем, пишу я слишком большое число и умножаю его еще на большое. в итоге, блядские плюсы пишут мне inf, нахуя.","программирования тред, обсуждаем языки и технологии разработки",1
289,"используют ли серьзные погроммисты в своей работе какимлибо местом блоксхемы, или это ненужная ерунда, которой забивают головы школоты и студентов.","программирования тред, обсуждаем языки и технологии разработки",1
290,"говорили тебе уебок что для всего серьезного берут c, а тяпляп и в продакшн с. переписывай на c c long long double.","программирования тред, обсуждаем языки и технологии разработки",1
291,"да сишкато заебись, бля буду. столько писал на сишке. это охуенный язык.","программирования тред, обсуждаем языки и технологии разработки",1
292,"да это похйу. они блядь никогда походу просто не реверсили. я чуть не блеванул, когда увидел блядский плюсовый код в экзешнике.","программирования тред, обсуждаем языки и технологии разработки",1
293,нахуй фриланс. найди ремоут джоб.,"программирования тред, обсуждаем языки и технологии разработки",0
294,"забывают только рассказать, что зарплата после иннополиса в среднем , т. е. зарплата пыхера на фрилансе.","программирования тред, обсуждаем языки и технологии разработки",0
295,"года, живу в тплых азиатских странах. первый язык руби. с него начал учиться. но не об этом. начал вскрывать чужие вафли и понеслось. не могу остановиться.","программирования тред, обсуждаем языки и технологии разработки",0
296,хочу зарабатывать миллионы. в какую сторону смотреть.,"программирования тред, обсуждаем языки и технологии разработки",0
297,налево,"программирования тред, обсуждаем языки и технологии разработки",0
298,"wow wow wow, полегче. и сразу говорю, огромное спасибо. у меня информационное голодание, а ты мне вкинул пару крошек.","программирования тред, обсуждаем языки и технологии разработки",0
299,"хочу пойти в it, но не переношу матан. очень ли он нужен. есть специальностинаправления, где он почти не нужен.","программирования тред, обсуждаем языки и технологии разработки",1
300,будь добр,"программирования тред, обсуждаем языки и технологии разработки",0
301,"и да, уровень класса ещ коекак","программирования тред, обсуждаем языки и технологии разработки",0
302,веб разработчикам матан не нужен. или у вас там все в модули над кольцами пердолятся,"программирования тред, обсуждаем языки и технологии разработки",1
303,используй guid. newguid и не еби мозг,"программирования тред, обсуждаем языки и технологии разработки",1
304,"да я уже разобрался, поменял кодировку в файлах, с которых брал текст","программирования тред, обсуждаем языки и технологии разработки",1
305,вангую у тебя хуета в конструкторе playertexture. поди нельзя так текстуры копировать.,"программирования тред, обсуждаем языки и технологии разработки",1
306,на бутылку.,"программирования тред, обсуждаем языки и технологии разработки",0
307,хочу подрабатывать на работе лол. с или вордпресс для фриланса.,"программирования тред, обсуждаем языки и технологии разработки",1
308,"ананасы, посоветуйте книги для чтения в автобусах, пока едешь на работу.","программирования тред, обсуждаем языки и технологии разработки",0
309,курант что такое математика,"программирования тред, обсуждаем языки и технологии разработки",1
310,"аноны, у когонибудь есть в электронном варианте книга с картинки. algorithms a functional programming approach","программирования тред, обсуждаем языки и технологии разработки",1
311,"ну эт зашквар полный, лучше вебкам шлюхой фрилансить.","программирования тред, обсуждаем языки и технологии разработки",0
312,уже нашел вот здесь,"программирования тред, обсуждаем языки и технологии разработки",0
313,"помогите, господа погромисты. есть одна несложная математическая моделька, на основе которой нужно написать максимально простую программу","программирования тред, обсуждаем языки и технологии разработки",1
314,"зависит от того, где эта твоя параша будет работать. локально комп, вебстраничкой, на мобиле, и прочее говно.","программирования тред, обсуждаем языки и технологии разработки",1
315,"ха, тогда бери эксель. кроме шуток, можешь из либреофиса. обычно хватает просто формул, но если что макросы тоже есть.","программирования тред, обсуждаем языки и технологии разработки",1
316,"визуалстуждию комьюнити с сайта мс. нахуй и впизду, эта параша требует актуального аккаунта на их говне.","программирования тред, обсуждаем языки и технологии разработки",1
317,java. можно даже с gui сделать.,"программирования тред, обсуждаем языки и технологии разработки",1
318,"я в погромированнии вообще ничего не смыслю. пропустил, тогда действительно excellibreoffice calc лучше.","программирования тред, обсуждаем языки и технологии разработки",1
319,"это не автор вопроса писал. кочаю халявную visual studio с onthehub спасибо родному универу. раньше уже както раз пробовал безуспешно ковырять ее, попытаюсь еще раз.","программирования тред, обсуждаем языки и технологии разработки",1
320,"забавно, зеленых слоников почемуто не любят","программирования тред, обсуждаем языки и технологии разработки",0
321,добавь себе в закладки или еще кудато libgen. io и не изнемогай себя поиском книг по совсем уж васяносайтам.,"программирования тред, обсуждаем языки и технологии разработки",1
322,на паскале ебашь. или если там крутые высокопроизводительные вычисления то фортран можешь взять.,"программирования тред, обсуждаем языки и технологии разработки",1
323,"ковырять ненужно, смотри туториалы. вообще, тебе прога с кнопочками нужна, или консольной хватит. может тебе вообще на фортране тогда написать ее.","программирования тред, обсуждаем языки и технологии разработки",1
324,попробуй почитать может полюбишь.,"программирования тред, обсуждаем языки и технологии разработки",0
325,кроме есть еще вроде специализированные языки для математических вычислений типа mathematica,"программирования тред, обсуждаем языки и технологии разработки",1
326,из криокамеры. фортрановские математические библиотеки уже давно можно использовать в python.,"программирования тред, обсуждаем языки и технологии разработки",1
327,"да можно хоть на брайнфаке прикрутить с помощью ffi, но зачем.","программирования тред, обсуждаем языки и технологии разработки",1
328,"ладно, спасибо всем за советы. буду выбирать из предложенного.","программирования тред, обсуждаем языки и технологии разработки",0
329,жена работает. где бы такую жену найти. кто она по национальности.,"программирования тред, обсуждаем языки и технологии разработки",0
330,затем что как язык фортран сложнее.,"программирования тред, обсуждаем языки и технологии разработки",1
331,"но я мимопроходил. автор того поста отписал успокойся, все в порядке. ты хороший человек, твои родители достойные люди и никто тебя не обижает.","программирования тред, обсуждаем языки и технологии разработки",0
332,"и я тебя ненавижу, кстати.","программирования тред, обсуждаем языки и технологии разработки",0
333,"на работе. чет я проиграл в голос, представляя, как мой начальник открывает дверь, заходит, а там я на хуях резиновых скачу, лол.","программирования тред, обсуждаем языки и технологии разработки",0
334,"братишке, не стоит без практики эти книги читать ничего не запомнишь, кроме пары аффоризмов и совсем уж банальной херни.","программирования тред, обсуждаем языки и технологии разработки",0
335,"подскажите нуфагу, как отслеживать в vs состояние класса аналогично как это можно было сделать с переменной или массивом в add watch.","программирования тред, обсуждаем языки и технологии разработки",1
336,"сошлось, но я еще вкатываюсь","программирования тред, обсуждаем языки и технологии разработки",0
337,"просто съеби. не сошлось. сисадмин, видимо изза того, что в школе мне нравилась физика, а в детстве я хотел конструктор, как и все пиздюки.","программирования тред, обсуждаем языки и технологии разработки",0
338,мамин тестировщик получилось. не сошлось так как я пинаю хуи.,"программирования тред, обсуждаем языки и технологии разработки",0
339,"если это нуфаг тред, то помогите. с помощью каких алгоритмов это решается.","программирования тред, обсуждаем языки и технологии разработки",1
340,"фаг, забыл, что уже запостил","программирования тред, обсуждаем языки и технологии разработки",0
341,звздочки в двух местах между select и from съела макаба,"программирования тред, обсуждаем языки и технологии разработки",1
342,"если удалить форк, возможность запиннить репозиторий с контрибьютом останется или нет.","программирования тред, обсуждаем языки и технологии разработки",1
343,"двачпомогач, а есть ли у когонибудь необрезанные книги кевина митника на русском. интересуют призрак в сети. мемуары величайшего хакера и искусство обмана.","программирования тред, обсуждаем языки и технологии разработки",1
344,"нет, делай бекап, форкай форк.","программирования тред, обсуждаем языки и технологии разработки",1
345,потому что нельзя итерировать по вектору и удалятьвставлять в него элементы одновременно,"программирования тред, обсуждаем языки и технологии разработки",1
346,"и что делать. есть вектора с rect, нужно проверить, не пересекается ли каждый элемент вектора с каждым элементом второго","программирования тред, обсуждаем языки и технологии разработки",1
347,"двачспасач, выручай. нужно найти готовую сборкулучше несколько для создания сайта подобного электронному дневнику как в школах. вс очень горит.","программирования тред, обсуждаем языки и технологии разработки",1
348,"такая проблема. месяца сижу на книжечках, курсах и туториалах, упор делаю на изучение осей и сетей, планирую ещ бд начать потыкивать. иногда полизываю питон","программирования тред, обсуждаем языки и технологии разработки",1
349,"могу стать наставником, если будешь сосать.","программирования тред, обсуждаем языки и технологии разработки",0
350,но ты же пидор. а я нет.,"программирования тред, обсуждаем языки и технологии разработки",0
351,"спасиб, братюнь,","программирования тред, обсуждаем языки и технологии разработки",0
352,готовый вариант,"программирования тред, обсуждаем языки и технологии разработки",0
353,"зато я программист, а ты нет.","программирования тред, обсуждаем языки и технологии разработки",0
354,мало ему что он пидор так еще и программист. червепидорское бинго просто.,"программирования тред, обсуждаем языки и технологии разработки",0
355,"мне до пизды знать как это делается, мне нужен просто ебучий шаблон.","программирования тред, обсуждаем языки и технологии разработки",0
356,"анон, объясни мне, что такое веб сервер. как понимаю, эта такая большая штука с жесткими дисками, где находится информация","программирования тред, обсуждаем языки и технологии разработки",1
357,не совсем понимаю принцип работы removeif. как удалять элементы вектора по индексах.,"программирования тред, обсуждаем языки и технологии разработки",1
358,"советую разобраться с removeif лямбды заодно поймешь. надо передать им аргументом функцию, которая возвращает true если элемент надо удалить","программирования тред, обсуждаем языки и технологии разработки",1
359,"ананас, посоветуй книгу по алгоритмам для покупки. чтоб вечерами сидеть и читать, вместо гегеля.","программирования тред, обсуждаем языки и технологии разработки",1
360,"анон, посоветуй интсрукцию для написания бота администратора в телеграмм, который бы на автомате бы кикал, банил и прочее. а то ссыкотно за безопасность конфы.","программирования тред, обсуждаем языки и технологии разработки",1
361,"в гугл картинках произошел неприятный вроде как баг. я сохранял линки на пикчи с мобилы, просто сохраняя url страницы.","программирования тред, обсуждаем языки и технологии разработки",0
362,"анон, поделись линком на годный гайд по синтаксису не знаю подходящее ли слово, tex. хочу набирать формулыс.","программирования тред, обсуждаем языки и технологии разработки",1
363,"аутисты пытаются перенести все ошибки времени выполнения во время компиляции, не понимая, что необходим баланс между сложностью кода и отсутствием ошибок. вот и все.","программирования тред, обсуждаем языки и технологии разработки",1
364,"а какие ошибки времени исполнения оно может предотвратить, а какие нет.","программирования тред, обсуждаем языки и технологии разработки",1
365,почему сейчас никто не использует оверлеи.,"программирования тред, обсуждаем языки и технологии разработки",1
366,"могут ли быть проблемы, если я копирую чужой код, немного его видоизменяя из чужого репа.","программирования тред, обсуждаем языки и технологии разработки",1
367,бамп,"программирования тред, обсуждаем языки и технологии разработки",0
368,сколько стоит выпуск приложения в гуглплей.,"программирования тред, обсуждаем языки и технологии разработки",1
369,нашел.,"программирования тред, обсуждаем языки и технологии разработки",0
370,"ну пиши электропочту, обсудим.","программирования тред, обсуждаем языки и технологии разработки",0
371,dbabid на гмайле,"программирования тред, обсуждаем языки и технологии разработки",0
372,нахуй тебе сеттеры в классе.,"программирования тред, обсуждаем языки и технологии разработки",1
373,это свойство.,"программирования тред, обсуждаем языки и технологии разработки",0
374,"зачем ты пишешь свой класс так, что он у тебя кишками наружу торчит. если тебе не нужен сеттер сделай метод.","программирования тред, обсуждаем языки и технологии разработки",1
375,"тебе сложно было догадаться что это всего лишь пример что бы понять, что я имею ввиду.","программирования тред, обсуждаем языки и технологии разработки",0
376,"ладно, я понял. сам проебался, неправильно поставил вопрос. я имею ввиду, как мне в разговоре правильно на словах объяснять другому человеку это.","программирования тред, обсуждаем языки и технологии разработки",0
377,"если мой пулл реквест принимают, а потом делают свои коммиты, как мне синхронизировать изменения в свом форке.","программирования тред, обсуждаем языки и технологии разработки",1
378,"блять, опять хуево спросил. как мне в разговоре называть поля с ссылкой на интерфейс, вот.","программирования тред, обсуждаем языки и технологии разработки",1
379,чемя в класс запихнул поле с ссылкой на интерфейстебя не устраивает в качестве объяснения.,"программирования тред, обсуждаем языки и технологии разработки",1
380,смержи мастер в свой форк,"программирования тред, обсуждаем языки и технологии разработки",1
381,"просто если для этого существует какой то термин, которого я не знаю, то буду выглядеть как долбоеб. нихуя же непонятно будет, что я имел ввиду.","программирования тред, обсуждаем языки и технологии разработки",0
382,а как смержить все ветки. или другие ветки не имеют значения для синхронизации.,"программирования тред, обсуждаем языки и технологии разработки",1
383,кому непонятно.,"программирования тред, обсуждаем языки и технологии разработки",0
384,"тому, кому я это объясняю.","программирования тред, обсуждаем языки и технологии разработки",0
385,мержи только мастер и однови пул реквест. потом пусть сами разбираются с другими ветками,"программирования тред, обсуждаем языки и технологии разработки",1
386,кому ты это объясняешь.,"программирования тред, обсуждаем языки и технологии разработки",0
387,твоей мамаше.,"программирования тред, обсуждаем языки и технологии разработки",0
388,моя мамаша сама тебе вс объяснит.,"программирования тред, обсуждаем языки и технологии разработки",0
389,"аноны, нужна консультация спецов, разбирающихся в программе hp loadrunner. есть такие.","программирования тред, обсуждаем языки и технологии разработки",1
390,"нашл очередной тест, пришлось голову даже включить анон, можешь вкинуть свой результат. хочу понять, результат рандомный или нетмне выдало то","программирования тред, обсуждаем языки и технологии разработки",0
391,"поясните плиз, почему иногда я могу добавить класс в vs в addwatch и посмотреть значения его полей, а иногда нет. ?от чего это зависит.","программирования тред, обсуждаем языки и технологии разработки",1
392,"ты четко видишь цель и идешь к ней, решая на пути любые проблемы. твоя логика и креативность мышления это та необходимая квинтэссенция качеств","программирования тред, обсуждаем языки и технологии разработки",0
393,все эти тесты говно на лопате.,"программирования тред, обсуждаем языки и технологии разработки",0
394,"привет. нужно слить несколько сайтов кк запросов на один ресурс. пока что разово, но возможно понадобится регулярный слив.","программирования тред, обсуждаем языки и технологии разработки",1
395,а что не говно. путин.,"программирования тред, обсуждаем языки и технологии разработки",0
396,"сейчас моя мамка подскочитпочирикай с ней чпочемя на созвонился, подскочу если че","программирования тред, обсуждаем языки и технологии разработки",0
397,тот который лучше всего знаешь. както стрмно писать многопоточный парсер на php.,"программирования тред, обсуждаем языки и технологии разработки",1
398,"анон, есть в инторнетах годные гайды по регуляркам.","программирования тред, обсуждаем языки и технологии разработки",1
399,почему.,"программирования тред, обсуждаем языки и технологии разработки",0
400,зашквар.,"программирования тред, обсуждаем языки и технологии разработки",0
401,"анон, а есть или был вообще swiftтред.","программирования тред, обсуждаем языки и технологии разработки",1
402,да.,"программирования тред, обсуждаем языки и технологии разработки",0
403,"дай линк, пожалуйста. через поиск не нашел.","программирования тред, обсуждаем языки и технологии разработки",0
404,держи.,"программирования тред, обсуждаем языки и технологии разработки",0
405,"уверен. я любопытствовал за него немного, вроде приятный яп. а то я уже чуть не вкатился в гоупарашу.","программирования тред, обсуждаем языки и технологии разработки",1
406,"котаны, есть вопрос, который немного не по теме треда доски, но я не ебу, где ещ его можно задать. в общем, есть один фонт, который называется oswald.","программирования тред, обсуждаем языки и технологии разработки",0
407,"partialapply, который выглядит не как говно.","программирования тред, обсуждаем языки и технологии разработки",1
408,"э, бидорасы, в микросервисной архитектуре сами микросервисы ведь общаюстя через service registry тож.","программирования тред, обсуждаем языки и технологии разработки",1
409,"запускал через code blocksне еби мозг, бери студию или devc","программирования тред, обсуждаем языки и технологии разработки",1
410,"ух ты, годнота какая. спасибо.","программирования тред, обсуждаем языки и технологии разработки",0
411,"бамп вопросу. анон, плз.","программирования тред, обсуждаем языки и технологии разработки",0
412,"совет на будущее не называй переменные одной буквой, если они живут больше строчек.","программирования тред, обсуждаем языки и технологии разработки",1
413,"господа, есть вопрос, к примеру, если физически россию отключат от интернета перерубят кабели, то получается у нас будет своя собственная сеть в доменной зоне ru.","программирования тред, обсуждаем языки и технологии разработки",1
414,они общаются через апи,"программирования тред, обсуждаем языки и технологии разработки",1
415,если тебе физически перерубят кабель единственный путь в большой мир болорусский вайфай.,"программирования тред, обсуждаем языки и технологии разработки",0
416,а спутниковый интернет.,"программирования тред, обсуждаем языки и технологии разработки",0
417,"покупаешь двустороннюю тарелку, вешаешь на стену дома, ждешь майора. сидишь на зоне лет за терроризм.","программирования тред, обсуждаем языки и технологии разработки",0
418,"ты посылаешь dns запрос, тебе твой днс сервер выдает ответ айпишник. если твой днс сервер не знает ответа он спрашивает у сервера выше по иерархии","программирования тред, обсуждаем языки и технологии разработки",1
419,"спасибо за ответ, анон. станция конечно же подключена наземным соединением к сети, да.","программирования тред, обсуждаем языки и технологии разработки",1
420,"эт чо, у меня вс дело было в отсутствии break. нет, смотри внимательней.","программирования тред, обсуждаем языки и технологии разработки",1
421,"как справиться с выгоранием. последнее время совсем не стоит на код, какоето отвращение уже через минут кодинга наступает.","программирования тред, обсуждаем языки и технологии разработки",1
422,а ну помогите решить,"программирования тред, обсуждаем языки и технологии разработки",0
423,работа с кодом не связана. пишу для себя и дело движется елееле.,"программирования тред, обсуждаем языки и технологии разработки",1
424,"пили короткими спринтами продолжительностью неделя. в каждом спринте привноси маленьку, но полезную фичу.","программирования тред, обсуждаем языки и технологии разработки",1
425,а ты что делать будешь.,"программирования тред, обсуждаем языки и технологии разработки",0
426,на жеппе сидеть,"программирования тред, обсуждаем языки и технологии разработки",0
427,вот мы тоже будем сидеть.,"программирования тред, обсуждаем языки и технологии разработки",0
428,"есть одна задача пикрелейтед. нашел решение к ней, вот оноc","программирования тред, обсуждаем языки и технологии разработки",1
429,полный обход всех трех массивов. считается количество сравнений.,"программирования тред, обсуждаем языки и технологии разработки",1
